case,event,timestamp,lifecycle,apploc:joinpoint,apprun:nanotime,apploc:app,apploc:linenr,apploc:etype,apprun:threadid,apploc:filename,apploc:node,apploc:regionstr,apploc:tier
,org.junit.runner.JUnitCommandLineParseResult.createRequest(org.junit.runner.Computer),53:29.2,complete,org.junit.runner.JUnitCommandLineParseResult.createRequest(org.junit.runner.Computer),4.84245E+12,junit-4.12,117,call,1,JUnitCommandLineParseResult.java,CalculatorTest,,hamcrest-core-1.3
,"org.junit.runner.Request.classes(org.junit.runner.Computer,java.lang.Class[])",53:29.2,start,"org.junit.runner.Request.classes(org.junit.runner.Computer,java.lang.Class[])",4.84252E+12,junit-4.12,74,call,1,Request.java,CalculatorTest,,hamcrest-core-1.3
,"org.junit.runner.Request.classes(org.junit.runner.Computer,java.lang.Class[])",53:29.2,complete,"org.junit.runner.Request.classes(org.junit.runner.Computer,java.lang.Class[])",4.84252E+12,junit-4.12,74,call,1,Request.java,CalculatorTest,,hamcrest-core-1.3
,"org.junit.runner.Computer.getSuite(org.junit.runners.model.RunnerBuilder,java.lang.Class[])",53:29.3,start,"org.junit.runner.Computer.getSuite(org.junit.runners.model.RunnerBuilder,java.lang.Class[])",4.84254E+12,junit-4.12,28,call,1,Computer.java,CalculatorTest,,hamcrest-core-1.3
,"org.junit.runner.Computer.getSuite(org.junit.runners.model.RunnerBuilder,java.lang.Class[])",53:29.3,complete,"org.junit.runner.Computer.getSuite(org.junit.runners.model.RunnerBuilder,java.lang.Class[])",4.84254E+12,junit-4.12,28,call,1,Computer.java,CalculatorTest,,hamcrest-core-1.3
,"org.junit.runners.model.RunnerBuilder.runners(java.lang.Class,java.lang.Class[])",53:29.3,start,"org.junit.runners.model.RunnerBuilder.runners(java.lang.Class,java.lang.Class[])",4.84259E+12,junit-4.12,84,call,1,RunnerBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runners.model.RunnerBuilder.addParent(java.lang.Class),53:29.3,start,org.junit.runners.model.RunnerBuilder.addParent(java.lang.Class),4.84259E+12,junit-4.12,66,call,1,RunnerBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runners.model.RunnerBuilder.addParent(java.lang.Class),53:29.3,start,org.junit.runners.model.RunnerBuilder.addParent(java.lang.Class),4.84259E+12,junit-4.12,66,return,1,RunnerBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class),53:29.3,start,org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class),4.84259E+12,junit-4.12,59,call,1,RunnerBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.Computer$1.runnerForClass(java.lang.Class),53:29.3,start,org.junit.runner.Computer$1.runnerForClass(java.lang.Class),4.84259E+12,junit-4.12,31,call,1,Computer.java,CalculatorTest,,hamcrest-core-1.3
,"org.junit.runner.Computer.getRunner(org.junit.runners.model.RunnerBuilder,java.lang.Class)",53:29.3,start,"org.junit.runner.Computer.getRunner(org.junit.runners.model.RunnerBuilder,java.lang.Class)",4.84259E+12,junit-4.12,40,call,1,Computer.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.runnerForClass(java.lang.Class),53:29.3,start,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.runnerForClass(java.lang.Class),4.84259E+12,junit-4.12,18,call,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.ignoredBuilder(),53:29.3,start,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.ignoredBuilder(),4.84259E+12,junit-4.12,47,call,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,"org.junit.runners.model.RunnerBuilder.runners(java.lang.Class,java.lang.Class[])",53:29.3,complete,"org.junit.runners.model.RunnerBuilder.runners(java.lang.Class,java.lang.Class[])",4.84259E+12,junit-4.12,84,call,1,RunnerBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runners.model.RunnerBuilder.addParent(java.lang.Class),53:29.3,complete,org.junit.runners.model.RunnerBuilder.addParent(java.lang.Class),4.84259E+12,junit-4.12,66,call,1,RunnerBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runners.model.RunnerBuilder.addParent(java.lang.Class),53:29.3,complete,org.junit.runners.model.RunnerBuilder.addParent(java.lang.Class),4.84259E+12,junit-4.12,66,return,1,RunnerBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class),53:29.3,complete,org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class),4.84259E+12,junit-4.12,59,call,1,RunnerBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.Computer$1.runnerForClass(java.lang.Class),53:29.3,complete,org.junit.runner.Computer$1.runnerForClass(java.lang.Class),4.84259E+12,junit-4.12,31,call,1,Computer.java,CalculatorTest,,hamcrest-core-1.3
,"org.junit.runner.Computer.getRunner(org.junit.runners.model.RunnerBuilder,java.lang.Class)",53:29.3,complete,"org.junit.runner.Computer.getRunner(org.junit.runners.model.RunnerBuilder,java.lang.Class)",4.84259E+12,junit-4.12,40,call,1,Computer.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.runnerForClass(java.lang.Class),53:29.3,complete,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.runnerForClass(java.lang.Class),4.84259E+12,junit-4.12,18,call,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.ignoredBuilder(),53:29.3,complete,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.ignoredBuilder(),4.84259E+12,junit-4.12,47,call,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.ignoredBuilder(),53:29.3,start,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.ignoredBuilder(),4.8426E+12,junit-4.12,47,return,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.annotatedBuilder(),53:29.3,start,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.annotatedBuilder(),4.8426E+12,junit-4.12,43,call,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.ignoredBuilder(),53:29.3,complete,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.ignoredBuilder(),4.8426E+12,junit-4.12,47,return,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.annotatedBuilder(),53:29.3,complete,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.annotatedBuilder(),4.8426E+12,junit-4.12,43,call,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.annotatedBuilder(),53:29.3,start,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.annotatedBuilder(),4.84261E+12,junit-4.12,43,return,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.suiteMethodBuilder(),53:29.3,start,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.suiteMethodBuilder(),4.84261E+12,junit-4.12,51,call,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.annotatedBuilder(),53:29.3,complete,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.annotatedBuilder(),4.84261E+12,junit-4.12,43,return,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.suiteMethodBuilder(),53:29.3,complete,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.suiteMethodBuilder(),4.84261E+12,junit-4.12,51,call,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.suiteMethodBuilder(),53:29.3,start,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.suiteMethodBuilder(),4.84262E+12,junit-4.12,51,return,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit3Builder(),53:29.3,start,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit3Builder(),4.84262E+12,junit-4.12,39,call,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.suiteMethodBuilder(),53:29.3,complete,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.suiteMethodBuilder(),4.84262E+12,junit-4.12,51,return,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit3Builder(),53:29.3,complete,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit3Builder(),4.84262E+12,junit-4.12,39,call,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit3Builder(),53:29.3,start,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit3Builder(),4.84263E+12,junit-4.12,39,return,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit4Builder(),53:29.3,start,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit4Builder(),4.84263E+12,junit-4.12,35,call,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit3Builder(),53:29.3,complete,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit3Builder(),4.84263E+12,junit-4.12,39,return,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit4Builder(),53:29.3,complete,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit4Builder(),4.84263E+12,junit-4.12,35,call,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit4Builder(),53:29.4,start,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit4Builder(),4.84269E+12,junit-4.12,35,return,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit4Builder(),53:29.4,complete,org.junit.internal.builders.AllDefaultPossibilitiesBuilder.junit4Builder(),4.84269E+12,junit-4.12,35,return,1,AllDefaultPossibilitiesBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class),53:29.4,start,org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class),4.84269E+12,junit-4.12,59,call,1,RunnerBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.IgnoredBuilder.runnerForClass(java.lang.Class),53:29.4,start,org.junit.internal.builders.IgnoredBuilder.runnerForClass(java.lang.Class),4.84269E+12,junit-4.12,10,call,1,IgnoredBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class),53:29.4,complete,org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class),4.84269E+12,junit-4.12,59,call,1,RunnerBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.IgnoredBuilder.runnerForClass(java.lang.Class),53:29.4,complete,org.junit.internal.builders.IgnoredBuilder.runnerForClass(java.lang.Class),4.84269E+12,junit-4.12,10,call,1,IgnoredBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.IgnoredBuilder.runnerForClass(java.lang.Class),53:29.4,start,org.junit.internal.builders.IgnoredBuilder.runnerForClass(java.lang.Class),4.84269E+12,junit-4.12,10,return,1,IgnoredBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class),53:29.4,start,org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class),4.84269E+12,junit-4.12,59,return,1,RunnerBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class),53:29.4,start,org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class),4.84269E+12,junit-4.12,59,call,1,RunnerBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AnnotatedBuilder.runnerForClass(java.lang.Class),53:29.4,start,org.junit.internal.builders.AnnotatedBuilder.runnerForClass(java.lang.Class),4.84269E+12,junit-4.12,82,call,1,AnnotatedBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.IgnoredBuilder.runnerForClass(java.lang.Class),53:29.4,complete,org.junit.internal.builders.IgnoredBuilder.runnerForClass(java.lang.Class),4.84269E+12,junit-4.12,10,return,1,IgnoredBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class),53:29.4,complete,org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class),4.84269E+12,junit-4.12,59,return,1,RunnerBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class),53:29.4,complete,org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class),4.84269E+12,junit-4.12,59,call,1,RunnerBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AnnotatedBuilder.runnerForClass(java.lang.Class),53:29.4,complete,org.junit.internal.builders.AnnotatedBuilder.runnerForClass(java.lang.Class),4.84269E+12,junit-4.12,82,call,1,AnnotatedBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AnnotatedBuilder.runnerForClass(java.lang.Class),53:29.4,start,org.junit.internal.builders.AnnotatedBuilder.runnerForClass(java.lang.Class),4.84269E+12,junit-4.12,82,return,1,AnnotatedBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.AnnotatedBuilder.runnerForClass(java.lang.Class),53:29.4,complete,org.junit.internal.builders.AnnotatedBuilder.runnerForClass(java.lang.Class),4.84269E+12,junit-4.12,82,return,1,AnnotatedBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class),53:29.4,start,org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class),4.84269E+12,junit-4.12,59,return,1,RunnerBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class),53:29.4,start,org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class),4.84269E+12,junit-4.12,59,call,1,RunnerBuilder.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.builders.SuiteMethodBuilder.runnerForClass(java.lang.Class),53:29.4,start,org.junit.internal.builders.SuiteMethodBuilder.runnerForClass(java.lang.Class),4.84269E+12,junit-4.12,10,call,1,SuiteMethodBuilder.java,CalculatorTest,,hamcrest-core-1.3
